sep=,
DeviceTag:,A
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Inertial data Mode - High Fidelity
StartTime: ,2024-09-12_16:23:48_265 EDT
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Status
96,585513796,0.999995,0.001124,-0.002078,-0.002199,0.010150,-0.164256,-0.010855,0
97,585530463,0.999994,0.001190,-0.002276,-0.002132,0.008634,-0.163136,-0.012657,0
98,585547130,0.999994,0.001185,-0.002413,-0.002003,0.008445,-0.160713,-0.012725,0
99,585563797,0.999995,0.001170,-0.002364,-0.001833,0.008654,-0.158652,-0.012865,0
100,585580464,0.999996,0.001192,-0.002206,-0.001627,0.008651,-0.157495,-0.013806,0
101,585597131,0.999996,0.001136,-0.002087,-0.001437,0.008276,-0.156740,-0.014896,0
102,585613798,0.999997,0.001067,-0.002030,-0.001205,0.007087,-0.156751,-0.015008,0
103,585630465,0.999997,0.001040,-0.002110,-0.000921,0.006402,-0.158289,-0.014921,0
104,585647132,0.999997,0.001146,-0.002274,-0.000616,0.006678,-0.159520,-0.014689,0
105,585663799,0.999997,0.001208,-0.002225,-0.000358,0.008369,-0.160432,-0.014130,0
106,585680466,0.999997,0.001197,-0.002021,-0.000217,0.008426,-0.162076,-0.014266,0
107,585697133,0.999996,0.001777,-0.002038,0.000021,0.009905,-0.164434,-0.012743,0
108,585713800,0.999995,0.002212,-0.002101,0.000153,0.009416,-0.164474,-0.012352,0
109,585730467,0.999994,0.002859,-0.002095,0.000140,0.010921,-0.164013,-0.009467,0
110,585747134,0.999992,0.003500,-0.002140,0.000123,0.011074,-0.163715,-0.008070,0
111,585763801,0.999988,0.004215,-0.002459,-0.000006,0.011462,-0.163881,-0.010768,0
112,585780468,0.999982,0.005438,-0.002497,-0.000125,0.012423,-0.166338,-0.008135,0
113,585797135,0.999979,0.006197,-0.002022,-0.000158,0.013777,-0.165104,-0.002192,0
114,585813802,0.999978,0.006416,-0.001620,-0.000413,0.013459,-0.165012,-0.003835,0
115,585830469,0.999977,0.006266,-0.002559,-0.000075,0.012664,-0.166848,-0.006360,0
116,585847136,0.999977,0.006343,-0.002222,0.000082,0.015124,-0.162025,-0.000474,0
117,585863803,0.999976,0.006660,-0.001983,-0.000343,0.020094,-0.164114,0.001395,0
118,585880470,0.999982,0.005688,-0.001783,-0.000979,0.017862,-0.162122,-0.000112,0
119,585897137,0.999978,0.005988,-0.001680,-0.002087,0.022924,-0.162622,0.004241,0
120,585913804,0.999968,0.006354,-0.001319,-0.004583,0.031571,-0.171034,0.007799,0
121,585930471,0.999948,0.007608,0.000279,-0.006796,0.040629,-0.170258,0.024584,0
122,585947138,0.999937,0.007563,0.001106,-0.008271,0.049286,-0.173690,0.022230,0
123,585963805,0.999929,0.007533,0.000914,-0.009144,0.054013,-0.175613,0.023965,0
124,585980472,0.999918,0.006642,-0.000750,-0.010897,0.060870,-0.174169,0.025916,0
125,585997139,0.999903,0.006401,-0.002113,-0.012152,0.065471,-0.174713,0.030147,0
126,586013806,0.999896,0.006491,-0.002934,-0.012558,0.068314,-0.176188,0.030284,0
127,586030473,0.999888,0.006606,-0.002916,-0.013140,0.076287,-0.170276,0.034384,0
128,586047140,0.999878,0.007023,-0.002041,-0.013821,0.082025,-0.170600,0.031235,0
129,586063807,0.999867,0.006994,-0.001453,-0.014694,0.087517,-0.165040,0.025785,0
130,586080474,0.999861,0.006223,-0.001237,-0.015420,0.091844,-0.163997,0.021089,0
131,586097141,0.999864,0.004966,-0.001055,-0.015699,0.096121,-0.162632,0.018247,0
132,586113808,0.999863,0.003683,-0.000930,-0.016092,0.101490,-0.160906,0.019136,0
133,586130475,0.999850,0.002718,-0.001001,-0.017062,0.108473,-0.163323,0.017870,0
134,586147142,0.999834,0.002004,-0.000866,-0.018094,0.118789,-0.164942,0.018768,0
135,586163809,0.999823,0.001250,-0.000421,-0.018770,0.128713,-0.168507,0.017406,0
136,586180476,0.999808,0.000361,0.000036,-0.019590,0.136410,-0.169551,0.018187,0
137,586197143,0.999797,-0.000332,0.000299,-0.020126,0.135436,-0.169740,0.018983,0
138,586213810,0.999788,-0.000678,-0.000411,-0.020571,0.131141,-0.171527,0.019479,0
139,586230477,0.999782,-0.000156,-0.001644,-0.020792,0.128000,-0.166094,0.022658,0
140,586247144,0.999778,0.000138,-0.002992,-0.020838,0.128784,-0.159680,0.019559,0
141,586263811,0.999766,-0.000425,-0.003904,-0.021257,0.132804,-0.151029,0.018050,0
142,586280478,0.999757,-0.001272,-0.003156,-0.021778,0.135987,-0.146201,0.019510,0
143,586297145,0.999757,-0.001629,-0.001740,-0.021911,0.135154,-0.146357,0.019448,0
144,586313812,0.999766,-0.000815,-0.001298,-0.021598,0.132626,-0.143531,0.022019,0
145,586330479,0.999779,0.000164,-0.002432,-0.020874,0.130372,-0.135708,0.020606,0
146,586347146,0.999780,0.000097,-0.004646,-0.020444,0.131481,-0.125403,0.019188,0
147,586363813,0.999770,-0.000930,-0.006074,-0.020538,0.135424,-0.118354,0.022135,0
148,586380480,0.999778,-0.001221,-0.004992,-0.020443,0.137659,-0.115901,0.026986,0
149,586397147,0.999793,-0.000481,-0.003470,-0.020031,0.135785,-0.110937,0.027230,0
150,586413814,0.999796,0.000122,-0.003590,-0.019899,0.137853,-0.107717,0.026805,0
151,586430481,0.999793,0.000261,-0.004664,-0.019797,0.141750,-0.101576,0.028563,0
152,586447148,0.999795,0.000185,-0.005641,-0.019433,0.141408,-0.093111,0.030187,0
153,586463815,0.999799,0.000154,-0.006472,-0.018982,0.135130,-0.083104,0.029485,0
154,586480482,0.999810,0.000128,-0.007111,-0.018143,0.130497,-0.075001,0.026768,0
155,586497149,0.999824,-0.000013,-0.007762,-0.017078,0.130681,-0.070834,0.023557,0
156,586513816,0.999842,-0.000002,-0.008274,-0.015763,0.137016,-0.064405,0.021639,0
157,586530483,0.999851,-0.000194,-0.008401,-0.015104,0.144881,-0.055565,0.022240,0
158,586547150,0.999858,-0.000382,-0.007780,-0.014965,0.153289,-0.050704,0.023095,0
159,586563817,0.999865,-0.000111,-0.006914,-0.014909,0.159273,-0.049021,0.023039,0
160,586580484,0.999875,0.001013,-0.005165,-0.014926,0.168514,-0.046134,0.025676,0
161,586597151,0.999868,0.002842,-0.001349,-0.015946,0.176945,-0.038933,0.024504,0
162,586613818,0.999854,0.003649,0.001772,-0.016587,0.167784,-0.026864,0.014544,0
163,586630485,0.999856,0.003112,0.000156,-0.016696,0.150512,-0.017526,0.004438,0
164,586647152,0.999864,0.002453,-0.005201,-0.015488,0.135979,-0.011244,-0.002096,0
165,586663819,0.999842,0.001907,-0.010248,-0.014384,0.131702,-0.002292,-0.000070,0
166,586680486,0.999848,0.001845,-0.010963,-0.013462,0.133802,0.007252,0.001846,0
167,586697153,0.999871,0.001492,-0.009215,-0.013097,0.128423,0.013010,-0.001521,0
168,586713820,0.999881,0.000765,-0.007829,-0.013269,0.118439,0.020139,-0.007154,0
169,586730487,0.999895,0.000294,-0.006728,-0.012842,0.107804,0.024843,-0.008866,0
170,586747154,0.999921,0.000623,-0.005178,-0.011462,0.096728,0.030234,-0.010268,0
171,586763821,0.999941,0.001657,-0.004023,-0.009971,0.085672,0.036968,-0.015609,0
172,586780488,0.999954,0.001876,-0.004343,-0.008341,0.083764,0.041670,-0.022521,0
173,586797155,0.999962,0.001252,-0.005195,-0.006853,0.092051,0.045611,-0.024624,0
174,586813822,0.999972,0.000635,-0.004897,-0.005551,0.101557,0.046477,-0.025143,0
175,586830489,0.999984,0.000626,-0.003383,-0.004588,0.110762,0.045498,-0.024257,0
176,586847156,0.999993,0.001045,-0.001376,-0.003310,0.120239,0.044225,-0.025601,0
177,586863823,0.999996,0.001462,-0.000110,-0.002464,0.127287,0.046184,-0.028716,0
178,586880490,0.999997,0.001352,0.000140,-0.002080,0.129094,0.050410,-0.033661,0
179,586897157,0.999999,0.000383,-0.000197,-0.001635,0.129000,0.052828,-0.037495,0
180,586913824,0.999999,-0.000640,-0.000647,-0.000954,0.128862,0.051786,-0.037519,0
181,586930491,0.999999,-0.000919,-0.000812,0.000004,0.134286,0.049383,-0.035859,0
182,586947158,0.999999,-0.000873,-0.000734,0.000534,0.143206,0.048153,-0.033529,0
183,586963825,1.000000,-0.000399,0.000106,0.000695,0.150504,0.047033,-0.031039,0
184,586980492,0.999999,0.000215,0.001008,0.000859,0.153441,0.048184,-0.031784,0
185,586997159,0.999999,0.000178,0.000908,0.000766,0.153067,0.051309,-0.034160,0
186,587013826,1.000000,-0.000306,0.000409,0.000559,0.155864,0.051733,-0.033540,0
187,587030493,1.000000,-0.000713,0.000342,0.000386,0.157045,0.051141,-0.031489,0
188,587047160,0.999999,-0.000620,0.000684,0.000550,0.157796,0.049884,-0.030844,0
189,587063827,0.999999,-0.000275,0.000954,0.000563,0.157968,0.049704,-0.029825,0
190,587080494,0.999999,0.000199,0.001216,0.000387,0.156389,0.050108,-0.031080,0
191,587097161,1.000000,0.000223,0.000853,0.000213,0.152755,0.052107,-0.032388,0
192,587113828,1.000000,-0.000181,0.000072,0.000398,0.149997,0.051753,-0.032840,0
193,587130495,0.999999,-0.000630,-0.000794,0.000611,0.148561,0.051185,-0.032614,0
194,587147162,0.999999,-0.000738,-0.001093,0.001035,0.150513,0.048614,-0.029505,0
195,587163829,0.999999,-0.000419,-0.000446,0.001130,0.157070,0.047063,-0.026849,0
196,587180496,0.999999,0.000174,0.000816,0.000695,0.162249,0.047939,-0.026660,0
197,587197163,0.999998,0.000506,0.001688,0.000317,0.162080,0.047719,-0.028503,0
198,587213830,0.999999,0.000550,0.001433,0.000110,0.157153,0.048375,-0.031013,0
199,587230497,1.000000,0.000340,0.000250,0.000048,0.152856,0.048745,-0.032188,0
200,587247164,1.000000,0.000138,-0.000528,0.000226,0.152187,0.048362,-0.031471,0
201,587263831,1.000000,0.000176,-0.000572,0.000292,0.153583,0.048073,-0.029773,0
202,587280498,1.000000,0.000387,-0.000183,0.000239,0.155552,0.047804,-0.029796,0
203,587297165,1.000000,0.000402,0.000200,0.000120,0.157718,0.047432,-0.030153,0
204,587313832,1.000000,0.000123,0.000088,-0.000078,0.155871,0.049235,-0.031001,0
205,587330499,1.000000,-0.000262,-0.000714,-0.000043,0.149950,0.049363,-0.031539,0
206,587347166,0.999999,-0.000238,-0.001547,0.000180,0.144041,0.049252,-0.031001,0
207,587363833,0.999998,0.000083,-0.001754,0.000617,0.140330,0.049560,-0.031110,0
208,587380500,0.999998,0.000439,-0.001291,0.001181,0.143408,0.046724,-0.030371,0
209,587397167,0.999998,0.001006,-0.000120,0.001596,0.153911,0.044565,-0.028210,0
210,587413834,0.999998,0.001269,0.000818,0.001462,0.162169,0.045138,-0.029417,0
211,587430501,0.999999,0.000933,0.000992,0.000859,0.168184,0.045849,-0.030052,0
212,587447168,0.999999,0.000534,0.000850,0.000385,0.169177,0.044536,-0.029635,0
213,587463835,1.000000,0.000545,0.000696,-0.000023,0.165524,0.045528,-0.029112,0
214,587480502,1.000000,0.000771,0.000436,-0.000186,0.160462,0.046497,-0.030271,0
215,587497169,1.000000,0.000712,0.000128,-0.000169,0.156859,0.048348,-0.031959,0
216,587513836,1.000000,0.000487,-0.000031,0.000047,0.155119,0.048841,-0.033169,0
217,587530503,1.000000,0.000154,0.000108,0.000049,0.155838,0.049443,-0.033404,0
218,587547170,1.000000,-0.000049,0.000395,0.000052,0.155975,0.048266,-0.032600,0
219,587563837,1.000000,-0.000029,0.000430,0.000030,0.155131,0.047244,-0.031881,0
220,587580504,1.000000,0.000098,0.000241,0.000098,0.153502,0.047026,-0.031382,0
221,587597171,1.000000,0.000110,-0.000031,0.000205,0.152823,0.047726,-0.032126,0
222,587613838,1.000000,-0.000103,-0.000314,0.000300,0.153129,0.047751,-0.031706,0
223,587630505,1.000000,-0.000117,-0.000293,0.000440,0.154482,0.046985,-0.030355,0
224,587647172,1.000000,-0.000019,-0.000085,0.000400,0.156609,0.046328,-0.029362,0
225,587663839,1.000000,0.000168,0.000189,0.000259,0.157299,0.047137,-0.029107,0
226,587680506,1.000000,0.000196,0.000307,0.000101,0.157245,0.047182,-0.030300,0
227,587697173,1.000000,0.000037,0.000164,0.000076,0.156194,0.047055,-0.031537,0
228,587713840,1.000000,-0.000016,-0.000086,0.000101,0.155391,0.046471,-0.031359,0
229,587730507,1.000000,0.000073,-0.000134,0.000136,0.155412,0.046979,-0.030895,0
230,587747174,1.000000,0.000096,0.000008,0.000179,0.155813,0.047695,-0.031160,0
231,587763841,1.000000,0.000007,0.000039,0.000170,0.155651,0.047448,-0.031422,0
232,587780508,1.000000,-0.000015,0.000101,0.000052,0.155467,0.047297,-0.031178,0
233,587797175,1.000000,-0.000008,0.000216,-0.000054,0.153960,0.047743,-0.031532,0
234,587813842,1.000000,-0.000001,0.000356,-0.000007,0.153527,0.047914,-0.031133,0
235,587830509,1.000000,0.000184,0.000596,0.000055,0.153366,0.047820,-0.031003,0
236,587847176,1.000000,0.000402,0.000799,0.000147,0.153853,0.046953,-0.030343,0
237,587863843,0.999999,0.000461,0.000908,0.000215,0.156289,0.046669,-0.030739,0
238,587880510,1.000000,0.000339,0.000742,0.000137,0.157156,0.047050,-0.030935,0
239,587897177,1.000000,0.000157,0.000299,0.000189,0.155880,0.047323,-0.030497,0
240,587913844,1.000000,0.000088,-0.000209,0.000238,0.154549,0.047175,-0.029584,0
241,587930511,1.000000,0.000176,-0.000397,0.000314,0.154589,0.047062,-0.029002,0
242,587947178,1.000000,0.000258,-0.000248,0.000327,0.154965,0.047268,-0.028682,0
243,587963845,1.000000,0.000323,-0.000038,0.000337,0.155328,0.047442,-0.029387,0
244,587980512,1.000000,0.000249,0.000053,0.000301,0.155740,0.047192,-0.030214,0
245,587997179,1.000000,0.000184,0.000140,0.000240,0.156456,0.046640,-0.029850,0
246,588013846,1.000000,0.000141,0.000264,0.000157,0.155894,0.046413,-0.030414,0
247,588030513,1.000000,0.000215,0.000436,0.000110,0.154469,0.046790,-0.030665,0
248,588047180,1.000000,0.000263,0.000430,0.000155,0.153604,0.047532,-0.030603,0
249,588063847,1.000000,0.000140,0.000219,0.000222,0.154236,0.047351,-0.030450,0
250,588080514,1.000000,0.000089,0.000140,0.000303,0.156436,0.046834,-0.029255,0
251,588097181,1.000000,0.000119,0.000113,0.000238,0.157631,0.047273,-0.028662,0
252,588113848,1.000000,0.000127,0.000199,0.000130,0.157339,0.047234,-0.029029,0
253,588130515,1.000000,0.000173,0.000319,0.000024,0.156671,0.047011,-0.029613,0
254,588147182,1.000000,0.000189,0.000360,-0.000017,0.154657,0.047283,-0.030398,0
255,588163849,1.000000,0.000202,0.000242,0.000047,0.153936,0.047118,-0.030877,0
256,588180516,1.000000,0.000046,0.000055,0.000097,0.154844,0.047305,-0.031390,0
257,588197183,1.000000,0.000036,0.000050,0.000147,0.156089,0.046120,-0.030516,0
258,588213850,1.000000,0.000130,0.000067,0.000138,0.155997,0.046510,-0.030178,0
259,588230517,1.000000,0.000098,0.000103,0.000196,0.156290,0.046446,-0.030367,0
260,588247184,1.000000,-0.000035,0.000015,0.000201,0.156951,0.045931,-0.030138,0
