sep=,
DeviceTag:,B
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Inertial data Mode - High Fidelity
StartTime: ,2024-09-12_16:23:48_281 EDT
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Status
158,586563817,0.999999,0.001147,-0.000211,0.000098,-0.150680,0.037133,0.014393,0
159,586580484,0.999999,0.001026,-0.000061,0.000389,-0.153956,0.040694,0.014297,0
160,586597151,0.999997,0.002354,-0.000437,0.000358,-0.155769,0.032683,0.015199,0
161,586613818,0.999993,0.003695,-0.000612,0.000250,-0.153767,0.025007,0.011596,0
162,586630485,0.999992,0.003920,-0.000592,0.000178,-0.148777,0.033104,0.008558,0
163,586647152,0.999993,0.003619,-0.000438,0.000513,-0.149739,0.043040,0.013339,0
164,586663819,0.999996,0.002613,-0.000061,0.000658,-0.149231,0.042697,0.014809,0
165,586680486,0.999998,0.001555,0.000610,0.000605,-0.146631,0.040723,0.012607,0
166,586697153,0.999999,0.001099,0.000653,0.000699,-0.148208,0.038805,0.014405,0
167,586713820,0.999999,0.001052,0.000330,0.000880,-0.150556,0.036621,0.016468,0
168,586730487,0.999999,0.000818,-0.000002,0.000782,-0.152386,0.036443,0.018049,0
169,586747154,1.000000,0.000588,0.000063,0.000636,-0.152687,0.037080,0.017021,0
170,586763821,1.000000,0.000447,0.000033,0.000605,-0.153533,0.036068,0.017301,0
171,586780488,1.000000,0.000279,0.000188,0.000702,-0.152745,0.037551,0.017498,0
172,586797155,1.000000,0.000196,0.000133,0.000677,-0.152592,0.035155,0.018639,0
173,586813822,1.000000,0.000032,0.000153,0.000277,-0.150739,0.034262,0.016470,0
174,586830489,1.000000,-0.000170,0.000299,-0.000025,-0.151045,0.036235,0.016325,0
175,586847156,1.000000,-0.000327,0.000529,-0.000238,-0.150282,0.035317,0.016388,0
176,586863823,1.000000,-0.000283,0.000665,-0.000428,-0.149593,0.032733,0.014963,0
177,586880490,1.000000,-0.000285,0.000621,-0.000574,-0.149904,0.031613,0.013308,0
178,586897157,1.000000,-0.000192,0.000620,-0.000510,-0.150559,0.033223,0.014305,0
179,586913824,1.000000,-0.000072,0.000684,-0.000457,-0.150362,0.033143,0.014182,0
180,586930491,1.000000,0.000067,0.000798,-0.000266,-0.149998,0.034783,0.014269,0
181,586947158,1.000000,0.000199,0.000849,-0.000221,-0.150694,0.034393,0.014655,0
182,586963825,1.000000,0.000462,0.000846,-0.000258,-0.151518,0.033633,0.014876,0
183,586980492,0.999999,0.000637,0.000897,-0.000239,-0.151515,0.034822,0.015242,0
184,586997159,1.000000,0.000553,0.000760,-0.000301,-0.152581,0.035704,0.015877,0
185,587013826,1.000000,0.000342,0.000664,-0.000300,-0.152879,0.036364,0.016193,0
186,587030493,1.000000,0.000454,0.000632,-0.000247,-0.153163,0.035310,0.015777,0
187,587047160,1.000000,0.000511,0.000635,-0.000159,-0.153033,0.035796,0.015680,0
188,587063827,1.000000,0.000645,0.000469,-0.000103,-0.153515,0.035369,0.015504,0
189,587080494,1.000000,0.000726,0.000340,-0.000091,-0.153023,0.034581,0.015217,0
190,587097161,1.000000,0.000801,0.000345,-0.000004,-0.152551,0.035706,0.016160,0
191,587113828,1.000000,0.000592,0.000350,0.000036,-0.152233,0.036367,0.016575,0
192,587130495,1.000000,0.000330,0.000267,0.000005,-0.151714,0.036128,0.016810,0
193,587147162,1.000000,0.000123,0.000291,-0.000041,-0.151911,0.038152,0.016243,0
194,587163829,1.000000,0.000284,0.000181,-0.000057,-0.153238,0.036388,0.016707,0
195,587180496,1.000000,0.000657,0.000143,-0.000154,-0.153717,0.032951,0.015482,0
196,587197163,1.000000,0.000713,0.000199,-0.000150,-0.152383,0.034294,0.015082,0
197,587213830,1.000000,0.000458,0.000229,-0.000144,-0.151742,0.035926,0.015580,0
198,587230497,1.000000,0.000265,0.000293,-0.000120,-0.151403,0.034716,0.014957,0
199,587247164,1.000000,0.000289,0.000291,-0.000037,-0.151132,0.033714,0.014426,0
200,587263831,1.000000,0.000544,0.000249,0.000122,-0.151612,0.032648,0.014984,0
201,587280498,1.000000,0.000646,0.000217,0.000167,-0.151432,0.033636,0.015279,0
202,587297165,1.000000,0.000627,0.000269,0.000203,-0.151917,0.034789,0.016415,0
203,587313832,1.000000,0.000572,0.000288,0.000112,-0.152267,0.032923,0.015666,0
204,587330499,1.000000,0.000581,0.000286,0.000101,-0.152499,0.032719,0.015578,0
205,587347166,1.000000,0.000592,0.000259,0.000124,-0.153009,0.032819,0.015758,0
206,587363833,1.000000,0.000547,0.000280,0.000130,-0.151825,0.033416,0.015613,0
207,587380500,1.000000,0.000474,0.000407,0.000237,-0.150905,0.037024,0.015609,0
208,587397167,1.000000,0.000533,0.000482,0.000286,-0.151982,0.037136,0.017082,0
209,587413834,1.000000,0.000833,0.000440,0.000120,-0.151696,0.032554,0.016463,0
210,587430501,1.000000,0.000820,0.000489,-0.000073,-0.151363,0.033841,0.016023,0
211,587447168,1.000000,0.000643,0.000582,-0.000210,-0.152096,0.035392,0.016453,0
212,587463835,1.000000,0.000512,0.000608,-0.000231,-0.151929,0.033628,0.015846,0
213,587480502,1.000000,0.000557,0.000580,-0.000132,-0.152077,0.032167,0.014215,0
214,587497169,1.000000,0.000762,0.000471,0.000100,-0.152514,0.032969,0.014848,0
215,587513836,1.000000,0.000822,0.000416,0.000252,-0.152898,0.034691,0.015544,0
216,587530503,1.000000,0.000864,0.000390,0.000318,-0.153340,0.035095,0.016247,0
217,587547170,1.000000,0.000855,0.000373,0.000334,-0.153101,0.034664,0.015795,0
218,587563837,1.000000,0.000760,0.000340,0.000335,-0.152707,0.035333,0.016149,0
219,587580504,1.000000,0.000727,0.000335,0.000312,-0.152552,0.035521,0.016657,0
220,587597171,1.000000,0.000702,0.000361,0.000283,-0.152008,0.035621,0.017171,0
221,587613838,1.000000,0.000625,0.000370,0.000246,-0.152532,0.035748,0.017267,0
222,587630505,1.000000,0.000527,0.000322,0.000207,-0.152485,0.036206,0.016854,0
223,587647172,1.000000,0.000649,0.000325,0.000184,-0.152935,0.034712,0.017129,0
224,587663839,1.000000,0.000650,0.000288,0.000128,-0.152137,0.033612,0.016329,0
225,587680506,1.000000,0.000678,0.000265,0.000139,-0.151800,0.035240,0.016242,0
226,587697173,1.000000,0.000620,0.000312,0.000110,-0.151491,0.035054,0.016698,0
227,587713840,1.000000,0.000499,0.000362,0.000081,-0.150658,0.035398,0.016088,0
228,587730507,1.000000,0.000597,0.000355,0.000111,-0.151447,0.034590,0.016210,0
229,587747174,1.000000,0.000680,0.000367,0.000148,-0.151041,0.034787,0.016585,0
230,587763841,1.000000,0.000627,0.000415,0.000174,-0.150782,0.035745,0.016943,0
231,587780508,1.000000,0.000467,0.000441,0.000114,-0.151394,0.035592,0.016807,0
232,587797175,1.000000,0.000405,0.000396,0.000076,-0.152248,0.035426,0.016845,0
233,587813842,1.000000,0.000411,0.000373,0.000047,-0.152889,0.034912,0.017101,0
234,587830509,1.000000,0.000527,0.000368,0.000056,-0.152830,0.034154,0.016865,0
235,587847176,1.000000,0.000492,0.000418,0.000128,-0.150974,0.035613,0.016690,0
236,587863843,1.000000,0.000417,0.000460,0.000153,-0.150948,0.035496,0.017060,0
237,587880510,1.000000,0.000427,0.000403,0.000112,-0.151175,0.033129,0.016610,0
238,587897177,1.000000,0.000527,0.000344,0.000099,-0.151212,0.033081,0.016802,0
239,587913844,1.000000,0.000545,0.000343,0.000150,-0.152188,0.034414,0.016768,0
240,587930511,1.000000,0.000515,0.000430,0.000168,-0.152152,0.035092,0.016599,0
241,587947178,1.000000,0.000520,0.000478,0.000173,-0.152284,0.034162,0.016745,0
242,587963845,1.000000,0.000494,0.000477,0.000187,-0.152450,0.033815,0.016361,0
243,587980512,1.000000,0.000518,0.000527,0.000235,-0.151855,0.035047,0.016556,0
244,587997179,1.000000,0.000530,0.000560,0.000192,-0.150949,0.034339,0.016598,0
245,588013846,1.000000,0.000518,0.000519,0.000158,-0.151051,0.033919,0.015929,0
246,588030513,1.000000,0.000488,0.000474,0.000169,-0.151988,0.034442,0.016314,0
247,588047180,1.000000,0.000485,0.000525,0.000157,-0.152534,0.034351,0.016005,0
248,588063847,1.000000,0.000512,0.000600,0.000162,-0.152248,0.034568,0.017025,0
249,588080514,1.000000,0.000520,0.000648,0.000216,-0.152392,0.035160,0.016983,0
250,588097181,1.000000,0.000595,0.000563,0.000202,-0.152783,0.033833,0.016745,0
251,588113848,1.000000,0.000581,0.000527,0.000163,-0.152241,0.034292,0.016481,0
